seed,stratum_id,signed_effect,population,model,framing,scale_labels,condition_id,tar_event_member
6002,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9317632850241543,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.856280193236715,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8278985507246377,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.7584541062801932,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9190821256038645,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8653381642512077,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8888888888888888,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.7620772946859904,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0169082125603863,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.8309178743961354,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=netherlands|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0030193236714975,netherlands,qwen3.5-4b,neutral,default,population-netherlands__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=jordan|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9178743961352658,jordan,qwen3.5-4b,neutral,default,population-jordan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-jordan__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.2493961352657006,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0736714975845412,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.067632850241546,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.5048309178743962,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.5072463768115945,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.2493961352657006,japan,qwen3.5-4b,neutral,default,population-japan__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0235507246376816,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0579710144927537,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6002/run/probe_events.jsonl.gz
6003,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6003/run/probe_events.jsonl.gz
6004,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6004/run/probe_events.jsonl.gz
6005,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6005/run/probe_events.jsonl.gz
6006,population=mixed|model=qwen3.5-4b|framing=neutral|scale_labels=default,1.0531400966183575,mixed,qwen3.5-4b,neutral,default,population-mixed__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-4b/seed_6006/run/probe_events.jsonl.gz
6001,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39613526570048324,us,gemma-4-31b,neutral,default,population-us__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-us__condition-observed__model-gemma-4-31b/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39673913043478265,netherlands,gemma-4-31b,neutral,default,population-netherlands__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-gemma-4-31b/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=gemma-4-31b|framing=neutral|scale_labels=default,0.39673913043478265,netherlands,gemma-4-31b,neutral,default,population-netherlands__condition-observed__model-gemma-4-31b,observed_norms/sweeps/runs/population-netherlands__condition-observed__model-gemma-4-31b/seed_6002/run/probe_events.jsonl.gz
