condition_id,kind,seed,model,population,condition,framing,scale_labels,probe_calls,dispersion_compression,absolute_mean_shift,compression_q1_family_importance,compression_q182_homosexuality,compression_q188_euthanasia,mean_shift_q1_family_importance,mean_shift_q182_homosexuality,mean_shift_q188_euthanasia,tar_event_member,tar_prompt_member
population-japan__condition-observed,grid,6006,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.05736714975845403,0.513888888888889,0.0,-1.4800724637681157,1.6521739130434778,0.0,-0.7083333333333339,-0.833333333333333,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6006/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6001,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6001/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6002,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6002/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6003,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6003/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6004,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6004/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6005,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6005/run/prompts_and_responses.jsonl.gz
population-mixed__condition-private,grid,6006,qwen3.5-27b-fp8,mixed,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-private/seed_6006/run/prompts_and_responses.jsonl.gz
population-mixed__condition-observed,grid,6001,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.7898550724637682,0.16666666666666666,0.0,-1.320652173913043,-1.0489130434782616,0.0,-0.375,-0.125,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6001/run/prompts_and_responses.jsonl.gz
population-mixed__condition-observed,grid,6002,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.6884057971014489,0.19444444444444434,0.0,-1.320652173913043,-0.7445652173913038,0.0,-0.375,-0.20833333333333304,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6002/run/prompts_and_responses.jsonl.gz
population-mixed__condition-observed,grid,6003,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.8532608695652177,0.20833333333333318,0.0,-1.4873188405797109,-1.0724637681159424,0.0,-0.45833333333333304,-0.16666666666666652,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6003/run/prompts_and_responses.jsonl.gz
