condition_id,model,game_variant,goal_framing,persona,agent_actions,fidelity,recorded_mean_choice,explicit_parameter_mean_choice,choice_shift_recorded_minus_explicit
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-cautious,qwen3.5-27b-fp8,cycle,strategic,cautious,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-competitive,qwen3.5-27b-fp8,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-intuitive,qwen3.5-27b-fp8,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,qwen3.5-27b-fp8,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-cautious,qwen3.5-4b,cycle,strategic,cautious,10,1.0,14.2,14.2,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-competitive,qwen3.5-4b,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-intuitive,qwen3.5-4b,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-4b__persona-neutral,qwen3.5-4b,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-cautious,qwen3.5-9b,cycle,strategic,cautious,10,1.0,11.0,11.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-competitive,qwen3.5-9b,cycle,strategic,competitive,10,1.0,19.0,19.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-intuitive,qwen3.5-9b,cycle,strategic,intuitive,10,1.0,12.0,12.0,0.0
game_variant-cycle__goal_framing-strategic__model-qwen3.5-9b__persona-neutral,qwen3.5-9b,cycle,strategic,neutral,10,1.0,12.0,12.0,0.0
